opportunity_id,sales_agent,manager,regional_office,product,account,deal_stage,engage_date,close_date,close_value
5M58DTJK,Elease Gluck,Celia Rouche,West,MG Special,Cheers,Won,2016-11-11,2017-03-05,58
KNY1OSAB,Maureen Marcano,Summer Sewald,West,GTXPro,Labdrill,Won,2016-11-11,2017-03-14,4899
EAZDUUM9,Rosie Papadopoulos,Cara Losch,East,MG Advanced,Zotware,Lost,2016-11-11,2017-03-01,0
2STUSOFE,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,dambase,Won,2016-11-11,2017-03-03,67
JYKM0B00,James Ascencio,Summer Sewald,West,GTXPro,Xx-holding,Won,2016-11-12,2017-03-06,4338
KU28360J,Kary Hendrixson,Summer Sewald,West,GTX Basic,Fasehatice,Won,2016-11-12,2017-03-19,578
N4SD17JR,Reed Clapper,Rocco Neubert,East,GTX Basic,Acme Corporation,Won,2016-11-12,2017-03-01,556
E67P9Y3Q,Rosalina Dieter,Celia Rouche,West,GTX Basic,Green-Plus,Won,2016-11-12,2017-03-03,635
AT3MMVIS,Wilburn Farren,Cara Losch,East,MG Advanced,The New York Inquirer,Won,2016-11-12,2017-03-07,3045
REJ11LRY,Garret Kinder,Cara Losch,East,GTX Plus Basic,Mathtouch,Won,2016-11-13,2017-03-14,1233
ERV0CAZ7,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Zumgoity,Won,2016-11-13,2017-03-09,60
8SOQADK7,Anna Snelling,Dustin Brinkmann,Central,MG Special,Gogozoom,Lost,2016-11-14,2017-03-30,0
TCHFT25B,Darcel Schlecht,Melvin Marxen,Central,GTX Basic,Stanredtax,Lost,2016-11-14,2017-03-08,0
CZVN09WN,Darcel Schlecht,Melvin Marxen,Central,GTX Plus Basic,Konmatfix,Won,2016-11-14,2017-03-20,1170
EG7OFLFR,Kami Bicknell,Summer Sewald,West,GTX Basic,,Engaging,2016-11-14,,
30UQWUKB,Marty Freudenburg,Melvin Marxen,Central,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-15,2017-03-20,1162
OLVI7L8M,Cassey Cress,Rocco Neubert,East,GTXPro,,Engaging,2016-11-16,,
97UN20YY,Darcel Schlecht,Melvin Marxen,Central,MG Advanced,Conecom,Won,2016-11-16,2017-03-14,3725
JXLERZ9O,Kary Hendrixson,Summer Sewald,West,GTX Basic,Golddex,Won,2016-11-16,2017-03-31,559
6ROE69W5,Rosalina Dieter,Celia Rouche,West,GTX Basic,Plexzap,Lost,2016-11-16,2017-03-11,0
0DFXFKT7,Darcel Schlecht,Melvin Marxen,Central,GTX Plus Basic,Rundofase,Lost,2016-11-17,2017-03-21,0
XKMZVSN4,James Ascencio,Summer Sewald,West,GTX Plus Pro,Sonron,Won,2016-11-17,2017-03-05,4667
IU8V0BZK,Marty Freudenburg,Melvin Marxen,Central,GTX Plus Basic,Finhigh,Won,2016-11-17,2017-03-17,903
XY42936P,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,Finjob,Won,2016-11-17,2017-03-13,1180
XRN54MBM,Niesha Huffines,Melvin Marxen,Central,GTX Basic,Ron-tech,Won,2016-11-17,2017-03-05,487
2V848WZD,Lajuana Vencill,Dustin Brinkmann,Central,MG Advanced,Stanredtax,Won,2016-11-18,2017-03-04,3180
ONYNTUCG,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Funholding,Lost,2016-11-19,2017-03-17,0
HIOHX80Y,Darcel Schlecht,Melvin Marxen,Central,MG Advanced,Gogozoom,Won,2016-11-19,2017-03-18,3563
F5U1ACDD,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,,Engaging,2016-11-19,,
LPKT07PV,Boris Faz,Rocco Neubert,East,GTXPro,Opentech,Won,2016-11-20,2017-03-23,4704
WPB2SLIG,Donn Cantrell,Rocco Neubert,East,GTX Plus Pro,Silis,Won,2016-11-20,2017-03-14,5585
XUSUEAV7,Elease Gluck,Celia Rouche,West,GTK 500,Zoomit,Won,2016-11-20,2017-03-09,25897
ZZY4516R,Hayden Neloms,Celia Rouche,West,MG Advanced,,Engaging,2016-11-20,,
3TYPII47,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Goodsilron,Won,2016-11-20,2017-03-03,1207
7WAX8Z8O,Lajuana Vencill,Dustin Brinkmann,Central,MG Advanced,Cancity,Lost,2016-11-20,2017-03-08,0
MYDUMR3R,Lajuana Vencill,Dustin Brinkmann,Central,GTX Basic,Rangreen,Won,2016-11-20,2017-03-04,559
0DRC1U9Q,Maureen Marcano,Summer Sewald,West,GTX Basic,Green-Plus,Engaging,2016-11-20,,
37JFKD4I,Niesha Huffines,Melvin Marxen,Central,GTX Plus Basic,dambase,Won,2016-11-20,2017-03-09,1033
25YKPHX8,Donn Cantrell,Rocco Neubert,East,GTX Basic,Kan-code,Won,2016-11-21,2017-03-21,462
BXXMA7F3,Hayden Neloms,Celia Rouche,West,MG Advanced,Nam-zim,Lost,2016-11-21,2017-03-01,0
GIUUTBXM,Kary Hendrixson,Summer Sewald,West,GTXPro,Y-corporation,Won,2016-11-21,2017-03-14,5539
MFX2LR1Q,Lajuana Vencill,Dustin Brinkmann,Central,MG Advanced,Ron-tech,Won,2016-11-21,2017-03-15,3573
DUHE9FLY,Marty Freudenburg,Melvin Marxen,Central,GTXPro,Conecom,Won,2016-11-21,2017-03-01,4926
96BSG7R1,Zane Levy,Summer Sewald,West,GTX Plus Basic,Sunnamplex,Lost,2016-11-21,2017-03-17,0
7FQMSWIX,Corliss Cosme,Cara Losch,East,MG Special,Bioplex,Won,2016-11-22,2017-03-04,62
C20AVXN7,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Gogozoom,Won,2016-11-22,2017-03-14,4359
GS1QVWCR,Kami Bicknell,Summer Sewald,West,GTX Basic,Plusstrip,Won,2016-11-22,2017-03-31,566
ZWH8FXY3,Marty Freudenburg,Melvin Marxen,Central,GTX Basic,Toughzap,Won,2016-11-22,2017-03-03,508
2U94Y3Q9,Rosie Papadopoulos,Cara Losch,East,MG Advanced,Vehement Capital Partners,Lost,2016-11-22,2017-03-20,0
AAR79NOO,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Codehow,Won,2016-11-22,2017-03-11,51
B6B0PNR2,Vicki Laflamme,Celia Rouche,West,GTXPro,Dalttechnology,Won,2016-11-22,2017-03-05,4899
M7I5O9YU,Corliss Cosme,Cara Losch,East,GTX Basic,Cheers,Engaging,2016-11-23,,
LXZA2OSZ,Corliss Cosme,Cara Losch,East,GTX Plus Pro,Ontomedia,Won,2016-11-23,2017-03-03,5790
N0ONCYVZ,Donn Cantrell,Rocco Neubert,East,MG Special,Kinnamplus,Lost,2016-11-23,2017-03-30,0
GYB4W2AU,Elease Gluck,Celia Rouche,West,MG Advanced,,Engaging,2016-11-23,,
513DPFX5,Gladys Colclough,Melvin Marxen,Central,GTXPro,Codehow,Won,2016-11-23,2017-03-03,4438
RU023K5W,Gladys Colclough,Melvin Marxen,Central,MG Advanced,Finhigh,Won,2016-11-23,2017-03-17,2972
VDIU10RV,Markita Hansen,Celia Rouche,West,MG Special,Lexiqvolax,Engaging,2016-11-23,,
BZCBQ514,Markita Hansen,Celia Rouche,West,GTX Basic,Y-corporation,Won,2016-11-23,2017-03-01,523
HEE6P0QH,Anna Snelling,Dustin Brinkmann,Central,MG Advanced,Statholdings,Won,2016-11-24,2017-03-25,3647
L8CHRJ2B,Cassey Cress,Rocco Neubert,East,MG Advanced,Umbrella Corporation,Won,2016-11-24,2017-03-01,4200
579LZ3F9,Daniell Hammack,Rocco Neubert,East,GTX Plus Basic,J-Texon,Engaging,2016-11-24,,
SU8JNMP4,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Bubba Gump,Engaging,2016-11-24,,
V2X2KMUR,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,Faxquote,Won,2016-11-24,2017-03-28,1059
AJIPJP75,Marty Freudenburg,Melvin Marxen,Central,GTX Plus Basic,Codehow,Lost,2016-11-24,2017-03-05,0
NYVA2G6U,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Dontechi,Won,2016-11-24,2017-03-02,57
FF45BXTL,Vicki Laflamme,Celia Rouche,West,MG Advanced,Konex,Won,2016-11-24,2017-03-27,3671
TTA9LYBS,Anna Snelling,Dustin Brinkmann,Central,MG Special,Treequote,Won,2016-11-25,2017-03-01,58
PAGZQH8L,Cecily Lampkin,Dustin Brinkmann,Central,MG Advanced,Treequote,Won,2016-11-25,2017-03-06,3956
J7YF6DS7,Corliss Cosme,Cara Losch,East,GTX Plus Pro,Betasoloin,Won,2016-11-25,2017-03-01,5964
S5IXY4Z9,Corliss Cosme,Cara Losch,East,GTXPro,Betasoloin,Won,2016-11-25,2017-03-06,4570
JQBJMETQ,Darcel Schlecht,Melvin Marxen,Central,MG Special,Domzoom,Won,2016-11-25,2017-03-27,49
0LVWSWEW,Violet Mclelland,Cara Losch,East,MG Special,Donquadtech,Won,2016-11-25,2017-03-06,65
K53BC1T9,Anna Snelling,Dustin Brinkmann,Central,MG Special,Domzoom,Lost,2016-11-26,2017-03-27,0
D40N5I9Y,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Finhigh,Won,2016-11-26,2017-03-08,4739
051QTX8Z,Niesha Huffines,Melvin Marxen,Central,GTX Plus Basic,Globex Corporation,Won,2016-11-26,2017-03-21,1080
5D2XH04S,Reed Clapper,Rocco Neubert,East,MG Special,Plussunin,Won,2016-11-26,2017-03-12,57
V9E582SK,Garret Kinder,Cara Losch,East,GTX Basic,Konex,Won,2016-11-27,2017-03-16,469
UK0LEZRJ,Kary Hendrixson,Summer Sewald,West,GTX Basic,Condax,Won,2016-11-27,2017-03-03,532
PFFHM7HR,Markita Hansen,Celia Rouche,West,MG Advanced,Opentech,Engaging,2016-11-27,,
IT10CFQH,Rosalina Dieter,Celia Rouche,West,GTX Basic,Konex,Won,2016-11-27,2017-03-26,538
8VKD2CCH,Rosie Papadopoulos,Cara Losch,East,GTXPro,Massive Dynamic,Won,2016-11-27,2017-03-21,4829
2XQAKBXH,Zane Levy,Summer Sewald,West,GTX Plus Pro,Doncon,Won,2016-11-27,2017-03-11,5370
7G7YLGJO,Zane Levy,Summer Sewald,West,GTX Plus Pro,Hatfan,Won,2016-11-27,2017-03-21,6499
GCA97W27,Darcel Schlecht,Melvin Marxen,Central,GTX Plus Basic,Genco Pura Olive Oil Company,Won,2016-11-28,2017-03-06,1161
K8FUZHOG,Kary Hendrixson,Summer Sewald,West,GTX Basic,Scotfind,Won,2016-11-28,2017-03-26,576
5WJZMULK,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,Hatfan,Won,2016-11-28,2017-03-19,979
ZPYD4T9W,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Stanredtax,Won,2016-11-28,2017-03-07,43
KE9ZEDS8,Gladys Colclough,Melvin Marxen,Central,MG Special,Scottech,Won,2016-11-29,2017-03-07,57
7KK0HQ4C,Lajuana Vencill,Dustin Brinkmann,Central,MG Special,Ron-tech,Lost,2016-11-29,2017-03-28,0
FP7014Z0,Lajuana Vencill,Dustin Brinkmann,Central,GTX Plus Basic,Funholding,Won,2016-11-29,2017-03-12,948
N4HFHDMW,Wilburn Farren,Cara Losch,East,MG Advanced,Plussunin,Won,2016-11-29,2017-03-10,3012
2HFLKREC,Cassey Cress,Rocco Neubert,East,MG Advanced,Zotware,Won,2016-11-30,2017-03-15,3665
7JVTTVCO,Violet Mclelland,Cara Losch,East,GTX Basic,Gekko & Co,Won,2016-11-30,2017-03-24,564
3X13866U,Anna Snelling,Dustin Brinkmann,Central,GTX Plus Basic,dambase,Lost,2016-12-01,2017-03-06,0
7LE19SYE,Cassey Cress,Rocco Neubert,East,MG Advanced,Initech,Won,2016-12-01,2017-03-22,3463
J5V2M7Y1,Corliss Cosme,Cara Losch,East,GTX Basic,Gekko & Co,Won,2016-12-01,2017-03-26,513
41MURAI5,Corliss Cosme,Cara Losch,East,GTX Basic,Konex,Won,2016-12-01,2017-03-28,590
QHI8WRIA,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Dontechi,Won,2016-12-01,2017-03-30,4511
AJXAXV4W,Lajuana Vencill,Dustin Brinkmann,Central,MG Advanced,Finhigh,Lost,2016-12-01,2017-03-02,0
VPDXX5PJ,Niesha Huffines,Melvin Marxen,Central,GTX Basic,Cancity,Won,2016-12-01,2017-03-26,546
PZB9NUK8,Vicki Laflamme,Celia Rouche,West,MG Special,Y-corporation,Won,2016-12-01,2017-03-05,46
A0ANOYPF,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Ron-tech,Won,2016-12-02,2017-03-09,4891
0P4AAPYX,Hayden Neloms,Celia Rouche,West,GTX Plus Basic,Golddex,Won,2016-12-02,2017-03-03,1040
O6T5WC3W,Hayden Neloms,Celia Rouche,West,GTX Plus Basic,Sonron,Won,2016-12-02,2017-03-04,1108
0NO04P6C,Hayden Neloms,Celia Rouche,West,MG Special,Nam-zim,Won,2016-12-02,2017-03-04,59
22OFSXBT,Jonathan Berthelot,Melvin Marxen,Central,GTXPro,Statholdings,Won,2016-12-02,2017-03-30,5406
MRXZTMM6,Kary Hendrixson,Summer Sewald,West,GTX Basic,Cheers,Won,2016-12-02,2017-03-20,515
LGI8QEC2,Moses Frase,Dustin Brinkmann,Central,GTX Basic,Treequote,Won,2016-12-02,2017-03-06,583
6KZ0NCFX,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Funholding,Won,2016-12-02,2017-03-14,54
3SF8O9S6,Vicki Laflamme,Celia Rouche,West,MG Special,Plusstrip,Won,2016-12-02,2017-03-27,60
CNM0H9FR,Zane Levy,Summer Sewald,West,GTX Basic,,Engaging,2016-12-02,,
XK668R7C,Darcel Schlecht,Melvin Marxen,Central,GTX Basic,Dontechi,Lost,2016-12-03,2017-03-12,0
TZCAQWL3,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Funholding,Lost,2016-12-03,2017-03-19,0
BADC6A9H,Darcel Schlecht,Melvin Marxen,Central,GTX Basic,Globex Corporation,Won,2016-12-03,2017-03-23,516
B8E0UUZR,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Rangreen,Won,2016-12-03,2017-03-22,4829
I043RXJV,Moses Frase,Dustin Brinkmann,Central,GTX Plus Basic,Dontechi,Lost,2016-12-03,2017-03-17,0
MWWB44CC,Reed Clapper,Rocco Neubert,East,GTX Plus Basic,Donquadtech,Won,2016-12-03,2017-03-02,950
HBTINPDG,Vicki Laflamme,Celia Rouche,West,GTX Plus Basic,Xx-holding,Lost,2016-12-03,2017-03-09,0
DZ3KHZSX,Corliss Cosme,Cara Losch,East,GTX Basic,Initech,Won,2016-12-04,2017-03-20,513
3W1K7X5F,Darcel Schlecht,Melvin Marxen,Central,GTXPro,Condax,Lost,2016-12-04,2017-03-09,0
45A57X68,Darcel Schlecht,Melvin Marxen,Central,GTX Plus Pro,Ron-tech,Won,2016-12-04,2017-03-12,5522
9SLYC4TR,Gladys Colclough,Melvin Marxen,Central,MG Special,Cancity,Won,2016-12-04,2017-03-09,56
JLWKWQYC,James Ascencio,Summer Sewald,West,GTXPro,Doncon,Won,2016-12-04,2017-03-08,5673
7QC6FOKW,Kami Bicknell,Summer Sewald,West,GTX Basic,Xx-holding,Won,2016-12-04,2017-03-10,598
XA184CMW,Marty Freudenburg,Melvin Marxen,Central,GTX Plus Pro,Rangreen,Won,2016-12-04,2017-03-16,5787
S0N7BYU3,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,Singletechno,Won,2016-12-04,2017-03-08,1070
6WOMHAJM,Boris Faz,Rocco Neubert,East,MG Advanced,Donquadtech,Won,2016-12-05,2017-03-14,3677
G1QGATKV,Cassey Cress,Rocco Neubert,East,GTX Plus Pro,Ontomedia,Won,2016-12-05,2017-03-30,5425
UAE5ZC7O,Daniell Hammack,Rocco Neubert,East,GTX Plus Pro,,Engaging,2016-12-05,,
6XFVQI32,Donn Cantrell,Rocco Neubert,East,MG Advanced,Yearin,Won,2016-12-05,2017-03-23,3415
JUCNIG4H,James Ascencio,Summer Sewald,West,GTX Basic,,Engaging,2016-12-05,,
OGD4MDJ9,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,Lexiqvolax,Won,2016-12-05,2017-03-21,891
4NGBUZWJ,Lajuana Vencill,Dustin Brinkmann,Central,GTX Basic,Codehow,Won,2016-12-06,2017-03-12,609
EFG5DGV5,Markita Hansen,Celia Rouche,West,MG Special,Plusstrip,Won,2016-12-06,2017-03-16,54
82MM4H33,Zane Levy,Summer Sewald,West,GTX Plus Basic,Labdrill,Won,2016-12-06,2017-03-09,1049
14PM641K,Cassey Cress,Rocco Neubert,East,GTX Plus Basic,Gekko & Co,Won,2016-12-07,2017-03-07,1152
DSBGHOPN,Daniell Hammack,Rocco Neubert,East,MG Special,Plussunin,Lost,2016-12-07,2017-03-20,0
1YSOZLHF,Daniell Hammack,Rocco Neubert,East,GTXPro,Umbrella Corporation,Won,2016-12-07,2017-03-28,4799
E8RP9FRW,Gladys Colclough,Melvin Marxen,Central,MG Special,dambase,Won,2016-12-07,2017-03-12,51
787IRG9Q,Hayden Neloms,Celia Rouche,West,MG Advanced,J-Texon,Won,2016-12-07,2017-03-03,3426
0TUS4NAC,Jonathan Berthelot,Melvin Marxen,Central,MG Special,Rangreen,Won,2016-12-07,2017-03-11,51
FAJTQMUM,Kami Bicknell,Summer Sewald,West,GTX Basic,Finjob,Won,2016-12-07,2017-03-20,564
TWF0J0DF,Cecily Lampkin,Dustin Brinkmann,Central,GTX Plus Pro,Isdom,Won,2016-12-08,2017-03-01,5882
ICMXZOVL,Daniell Hammack,Rocco Neubert,East,GTXPro,Stanredtax,Engaging,2016-12-08,,
UQ14O415,Donn Cantrell,Rocco Neubert,East,GTXPro,Plussunin,Won,2016-12-08,2017-03-20,5059
IBEUTCSW,James Ascencio,Summer Sewald,West,MG Advanced,,Engaging,2016-12-08,,
O3KC8QI8,Kami Bicknell,Summer Sewald,West,GTX Plus Basic,,Engaging,2016-12-08,,
BOJSLNDG,Kami Bicknell,Summer Sewald,West,MG Advanced,Singletechno,Won,2016-12-08,2017-03-11,3388
WALNFJ70,Kary Hendrixson,Summer Sewald,West,GTX Plus Pro,,Engaging,2016-12-08,,
DASMR0EK,Markita Hansen,Celia Rouche,West,GTX Plus Pro,Zoomit,Won,2016-12-08,2017-03-10,5410
A76M0OOH,Reed Clapper,Rocco Neubert,East,GTX Plus Basic,Zathunicon,Won,2016-12-08,2017-03-28,978
E1VKE2PH,Vicki Laflamme,Celia Rouche,West,MG Special,Scotfind,Won,2016-12-08,2017-03-26,54
SKY95DVG,Anna Snelling,Dustin Brinkmann,Central,MG Special,Betatech,Lost,2016-12-09,2017-03-22,0
V5OK4V5I,Cassey Cress,Rocco Neubert,East,GTX Basic,Bubba Gump,Won,2016-12-09,2017-03-14,549
GJ4L5HHN,Corliss Cosme,Cara Losch,East,GTX Plus Basic,Mathtouch,Won,2016-12-09,2017-03-14,1034
9R8JWY3J,Donn Cantrell,Rocco Neubert,East,GTXPro,Vehement Capital Partners,Won,2016-12-09,2017-03-03,4998
0EOFVU05,Donn Cantrell,Rocco Neubert,East,MG Advanced,Ontomedia,Won,2016-12-09,2017-03-28,3421
HNHOPL7M,Kary Hendrixson,Summer Sewald,West,GTX Plus Pro,Doncon,Won,2016-12-09,2017-03-04,5425
Y0NYI17R,Vicki Laflamme,Celia Rouche,West,MG Special,Dalttechnology,Won,2016-12-09,2017-03-15,55
R4F4RGAL,Violet Mclelland,Cara Losch,East,MG Advanced,Silis,Won,2016-12-09,2017-03-14,3558
MNVMY83P,Cassey Cress,Rocco Neubert,East,GTXPro,Plussunin,Engaging,2016-12-10,,
0ZHLQFGU,Kami Bicknell,Summer Sewald,West,GTXPro,Blackzim,Won,2016-12-10,2017-03-22,4839
40DPY158,Markita Hansen,Celia Rouche,West,MG Special,Hottechi,Won,2016-12-10,2017-03-25,47
DP9E525R,Maureen Marcano,Summer Sewald,West,GTX Plus Basic,Fasehatice,Won,2016-12-10,2017-03-24,1007
DBDUMQQK,Niesha Huffines,Melvin Marxen,Central,MG Special,Inity,Won,2016-12-10,2017-03-24,48
CNBN12RL,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Treequote,Won,2016-12-10,2017-03-07,49
OXL0YWEE,Violet Mclelland,Cara Losch,East,GTX Basic,Mathtouch,Won,2016-12-10,2017-03-18,504
ZOBJHMAF,Cassey Cress,Rocco Neubert,East,MG Advanced,,Engaging,2016-12-11,,
KD6MB4AP,Elease Gluck,Celia Rouche,West,MG Special,,Engaging,2016-12-11,,
5CSSZJF4,Jonathan Berthelot,Melvin Marxen,Central,GTX Basic,Finhigh,Won,2016-12-11,2017-03-21,543
0XG8TOJF,Kary Hendrixson,Summer Sewald,West,GTX Plus Pro,Fasehatice,Lost,2016-12-11,2017-03-18,0
IIS0O91J,Kary Hendrixson,Summer Sewald,West,GTXPro,Fasehatice,Won,2016-12-11,2017-03-28,5149
2LP5SUR5,Lajuana Vencill,Dustin Brinkmann,Central,GTX Basic,Treequote,Lost,2016-12-11,2017-03-09,0
PYZZ3IS6,Markita Hansen,Celia Rouche,West,GTX Plus Basic,Blackzim,Won,2016-12-11,2017-03-11,1043
5I4K5TQE,Cassey Cress,Rocco Neubert,East,GTX Plus Pro,Sumace,Lost,2016-12-12,2017-03-09,0
RV3LPOYP,James Ascencio,Summer Sewald,West,GTX Basic,Condax,Won,2016-12-12,2017-03-29,437
A194RP0I,Rosalina Dieter,Celia Rouche,West,MG Advanced,,Engaging,2016-12-12,,
1HVNTEPV,Rosie Papadopoulos,Cara Losch,East,GTXPro,Kinnamplus,Won,2016-12-12,2017-03-11,4465
LC85AQ1I,Vicki Laflamme,Celia Rouche,West,GTX Basic,Konex,Won,2016-12-12,2017-03-18,443
TBV972NP,Violet Mclelland,Cara Losch,East,MG Special,Sumace,Lost,2016-12-12,2017-03-23,0
EJMX0EIJ,Darcel Schlecht,Melvin Marxen,Central,GTX Plus Pro,Betatech,Won,2016-12-13,2017-03-20,4278
VR9NYBOV,Garret Kinder,Cara Losch,East,MG Special,Kinnamplus,Won,2016-12-13,2017-03-06,41
3U25FK08,Jonathan Berthelot,Melvin Marxen,Central,GTX Basic,Isdom,Won,2016-12-13,2017-03-28,519
KV2OFRJT,Kami Bicknell,Summer Sewald,West,GTXPro,,Engaging,2016-12-13,,
CRLK4Z1P,Maureen Marcano,Summer Sewald,West,GTX Basic,Kan-code,Won,2016-12-13,2017-03-04,524
OGENAT0L,Zane Levy,Summer Sewald,West,GTX Basic,Singletechno,Won,2016-12-13,2017-03-27,552
F57JWIDF,Gladys Colclough,Melvin Marxen,Central,GTX Plus Basic,Konmatfix,Won,2016-12-14,2017-03-02,970
ERFRHR3Z,Hayden Neloms,Celia Rouche,West,MG Advanced,,Engaging,2016-12-14,,
J53D8EOL,Kary Hendrixson,Summer Sewald,West,GTX Plus Basic,Hottechi,Engaging,2016-12-14,,
LF8JZ3Q5,Kary Hendrixson,Summer Sewald,West,GTX Plus Basic,Hatfan,Won,2016-12-14,2017-03-13,1046
MRGBSMQ5,Kary Hendrixson,Summer Sewald,West,GTX Plus Basic,Sunnamplex,Won,2016-12-14,2017-03-14,988
CBAV8ZJL,Lajuana Vencill,Dustin Brinkmann,Central,GTX Basic,Codehow,Won,2016-12-14,2017-03-22,547
J32XDDAW,Markita Hansen,Celia Rouche,West,GTX Basic,,Engaging,2016-12-14,,
NN4DWBVN,Maureen Marcano,Summer Sewald,West,GTXPro,Singletechno,Lost,2016-12-14,2017-03-04,0
6JXHEZYK,Versie Hillebrand,Dustin Brinkmann,Central,MG Special,Isdom,Won,2016-12-14,2017-03-31,54
WDHNR2EI,Violet Mclelland,Cara Losch,East,MG Special,Silis,Won,2016-12-14,2017-03-20,57
4K750D6F,Violet Mclelland,Cara Losch,East,MG Special,Yearin,Won,2016-12-14,2017-03-18,55
94GI0ZJ7,Anna Snelling,Dustin Brinkmann,Central,GTX Plus Pro,Stanredtax,Won,2016-12-15,2017-03-15,5765
TODG6DEK,Daniell Hammack,Rocco Neubert,East,GTX Basic,Bioplex,Won,2016-12-15,2017-03-16,639
G0ECB8FS,Kary Hendrixson,Summer Sewald,West,GTXPro,Labdrill,Won,2016-12-15,2017-03-15,5100
